bin_index,phase,normalized_flux
483,0.94433594,0.0
484,0.94628906,0.0
485,0.9482422,0.0
486,0.9501953,0.0
487,0.95214844,0.0
488,0.95410156,0.0
489,0.9560547,0.0
490,0.9580078,0.0
491,0.95996094,0.0
492,0.96191406,0.0
493,0.9638672,0.0
494,0.9658203,0.0
495,0.96777344,0.0
496,0.96972656,0.0
497,0.9716797,0.0
498,0.9736328,0.0
499,0.97558594,0.0
500,0.97753906,0.0
501,0.9794922,0.0
502,0.9814453,0.0
503,0.98339844,0.0
504,0.98535156,0.0
505,0.9873047,0.0
506,0.9892578,0.0
507,0.99121094,0.0
508,0.99316406,0.0
509,0.9951172,0.0
510,0.9970703,0.0
511,0.99902344,0.0
